scenario,model_label,runtime,execution,temperature,prompt_id,run,n_runs,n_predict,ctx,deadline_main_ms,deadline_secondary_ms,wall_time_ms,deadline_miss_5s,deadline_miss_10s,output,expected,answer_token,accuracy,return_code,load_time_ms,prompt_eval_time_ms,eval_time_ms,total_time_ms_from_llama,generation_tokens_per_second,inference_core,stress_core,stressor_workers,stressor_log,raw_log_file,jitter_from_mean_ms
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,1,30,192,2048,5000.0,10000.0,67310.51,1,1,urgent [end of text],urgent,urgent,1,0,59766.57,5063.8,5063.8,5204.36,11.45,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_001_1758707112.log,57232.041
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,2,30,192,2048,5000.0,10000.0,8034.329,1,0,urgent [end of text],urgent,urgent,1,0,1099.68,5029.3,5029.3,5165.28,11.53,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_002_1758707180.log,2044.14
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,3,30,192,2048,5000.0,10000.0,7987.218,1,0,urgent [end of text],urgent,urgent,1,0,1059.01,5035.02,5035.02,5180.54,11.52,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_003_1758707188.log,2091.251
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,4,30,192,2048,5000.0,10000.0,7891.065,1,0,urgent [end of text],urgent,urgent,1,0,1028.93,5056.45,5056.45,5192.57,11.47,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_004_1758707196.log,2187.404
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,5,30,192,2048,5000.0,10000.0,8271.972,1,0,Urgent [end of text],urgent,urgent,1,0,1086.94,5028.26,5028.26,5434.57,11.53,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_005_1758707204.log,1806.497
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,6,30,192,2048,5000.0,10000.0,8424.767,1,0,Urgent [end of text],urgent,urgent,1,0,1157.73,5030.23,5030.23,5437.63,11.53,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_006_1758707212.log,1653.702
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,7,30,192,2048,5000.0,10000.0,8004.985,1,0,urgent [end of text],urgent,urgent,1,0,1061.01,5064.44,5064.44,5201.78,11.45,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_007_1758707220.log,2073.484
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,8,30,192,2048,5000.0,10000.0,8417.501,1,0,Urgent [end of text],urgent,urgent,1,0,1128.48,5032.43,5032.43,5439.49,11.53,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_008_1758707228.log,1660.968
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,9,30,192,2048,5000.0,10000.0,8150.2,1,0,urgent [end of text],urgent,urgent,1,0,1124.97,5082.45,5082.45,5225.41,11.41,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_009_1758707237.log,1928.269
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,10,30,192,2048,5000.0,10000.0,8411.51,1,0,Urgent [end of text],urgent,urgent,1,0,1138.48,5047.94,5047.94,5448.92,11.49,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_010_1758707245.log,1666.959
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,11,30,192,2048,5000.0,10000.0,7928.455,1,0,urgent [end of text],urgent,urgent,1,0,1047.95,5038.83,5038.83,5174.96,11.51,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_011_1758707253.log,2150.014
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,12,30,192,2048,5000.0,10000.0,7935.326,1,0,urgent [end of text],urgent,urgent,1,0,1031.95,5080.7,5080.7,5217.27,11.42,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_012_1758707261.log,2143.143
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,13,30,192,2048,5000.0,10000.0,8192.652,1,0,Urgent [end of text],urgent,urgent,1,0,1008.32,5066.5,5066.5,5467.61,11.45,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_013_1758707269.log,1885.817
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,14,30,192,2048,5000.0,10000.0,8006.667,1,0,urgent [end of text],urgent,urgent,1,0,1019.75,5031.22,5031.22,5166.97,11.53,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_014_1758707277.log,2071.802
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,15,30,192,2048,5000.0,10000.0,8005.769,1,0,normal [end of text],urgent,normal,0,0,1026.05,5072.75,5072.75,5209.73,11.43,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_015_1758707285.log,2072.7
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,16,30,192,2048,5000.0,10000.0,8021.155,1,0,normal [end of text],urgent,normal,0,0,1067.78,5055.84,5055.84,5193.81,11.47,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_016_1758707293.log,2057.314
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,17,30,192,2048,5000.0,10000.0,8101.031,1,0,urgent [end of text],urgent,urgent,1,0,1123.71,5035.91,5035.91,5170.99,11.52,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_017_1758707301.log,1977.438
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,18,30,192,2048,5000.0,10000.0,8404.047,1,0,Urgent [end of text],urgent,urgent,1,0,1117.73,5078.34,5078.34,5480.11,11.42,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_018_1758707310.log,1674.422
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,19,30,192,2048,5000.0,10000.0,8057.966,1,0,urgent [end of text],urgent,urgent,1,0,1113.61,5035.56,5035.56,5170.92,11.52,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_019_1758707318.log,2020.503
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,20,30,192,2048,5000.0,10000.0,7983.647,1,0,urgent [end of text],urgent,urgent,1,0,1086.25,5032.18,5032.18,5169.66,11.53,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_020_1758707326.log,2094.822
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,21,30,192,2048,5000.0,10000.0,8164.701,1,0,urgent [end of text],urgent,urgent,1,0,1126.11,5029.95,5029.95,5166.28,11.53,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_021_1758707334.log,1913.768
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,22,30,192,2048,5000.0,10000.0,8152.636,1,0,urgent [end of text],urgent,urgent,1,0,1107.97,5037.99,5037.99,5173.98,11.51,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_022_1758707342.log,1925.833
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,23,30,192,2048,5000.0,10000.0,7893.855,1,0,urgent [end of text],urgent,urgent,1,0,1041.46,5039.48,5039.48,5174.83,11.51,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_023_1758707350.log,2184.614
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,24,30,192,2048,5000.0,10000.0,8137.698,1,0,urgent [end of text],urgent,urgent,1,0,1133.18,5055.74,5055.74,5193.73,11.47,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_024_1758707358.log,1940.771
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,25,30,192,2048,5000.0,10000.0,7919.436,1,0,normal [end of text],urgent,normal,0,0,1044.42,5048.92,5048.92,5187.12,11.49,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_025_1758707366.log,2159.033
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,26,30,192,2048,5000.0,10000.0,8189.748,1,0,urgent [end of text],urgent,urgent,1,0,1143.79,5076.94,5076.94,5213.71,11.42,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_026_1758707374.log,1888.721
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,27,30,192,2048,5000.0,10000.0,7971.025,1,0,urgent [end of text],urgent,urgent,1,0,1068.11,5034.51,5034.51,5171.38,11.52,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_027_1758707383.log,2107.444
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,28,30,192,2048,5000.0,10000.0,8128.107,1,0,urgent [end of text],urgent,urgent,1,0,1109.04,5072.05,5072.05,5208.38,11.44,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_028_1758707390.log,1950.362
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,29,30,192,2048,5000.0,10000.0,8010.267,1,0,urgent [end of text],urgent,urgent,1,0,1064.04,5076.28,5076.28,5216.66,11.43,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_029_1758707399.log,2068.202
realtime_baseline,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,30,30,192,2048,5000.0,10000.0,8245.824,1,0,Urgent [end of text],urgent,urgent,1,0,1106.14,5032.29,5032.29,5434.39,11.53,,,,,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_baseline_run_030_1758707407.log,1832.645
