scenario,model_label,runtime,execution,temperature,prompt_id,run,n_runs,n_predict,ctx,deadline_main_ms,deadline_secondary_ms,wall_time_ms,deadline_miss_5s,deadline_miss_10s,output,expected,answer_token,accuracy,return_code,load_time_ms,prompt_eval_time_ms,eval_time_ms,total_time_ms_from_llama,generation_tokens_per_second,inference_core,stress_core,stressor_workers,stressor_log,raw_log_file,jitter_from_mean_ms
realtime_stress_cpu_matrix_process_isolation,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,1,30,192,2048,5000.0,10000.0,13434.652,1,1,urgent [end of text],urgent,urgent,1,0,1308.03,10130.72,10130.72,10391.34,5.73,0,1,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_realtime_cpu_matrix_process_isolation_temp_07_20250924_120914.log,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_stress_cpu_matrix_process_isolation_run_001_1758708559.log,333.979
realtime_stress_cpu_matrix_process_isolation,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,2,30,192,2048,5000.0,10000.0,13527.187,1,1,urgent [end of text],urgent,urgent,1,0,1290.8,10209.95,10209.95,10476.88,5.68,0,1,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_realtime_cpu_matrix_process_isolation_temp_07_20250924_120914.log,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_stress_cpu_matrix_process_isolation_run_002_1758708572.log,241.444
realtime_stress_cpu_matrix_process_isolation,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,3,30,192,2048,5000.0,10000.0,13571.733,1,1,urgent [end of text],urgent,urgent,1,0,1303.27,10140.69,10140.69,10401.44,5.72,0,1,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_realtime_cpu_matrix_process_isolation_temp_07_20250924_120914.log,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_stress_cpu_matrix_process_isolation_run_003_1758708586.log,196.898
realtime_stress_cpu_matrix_process_isolation,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,4,30,192,2048,5000.0,10000.0,13446.579,1,1,urgent [end of text],urgent,urgent,1,0,1284.82,10150.69,10150.69,10412.45,5.71,0,1,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_realtime_cpu_matrix_process_isolation_temp_07_20250924_120914.log,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_stress_cpu_matrix_process_isolation_run_004_1758708599.log,322.052
realtime_stress_cpu_matrix_process_isolation,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,5,30,192,2048,5000.0,10000.0,14006.099,1,1,Urgent [end of text],urgent,urgent,1,0,1261.8,10150.99,10150.99,10924.2,5.71,0,1,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_realtime_cpu_matrix_process_isolation_temp_07_20250924_120914.log,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_stress_cpu_matrix_process_isolation_run_005_1758708613.log,237.468
realtime_stress_cpu_matrix_process_isolation,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,6,30,192,2048,5000.0,10000.0,14052.299,1,1,Urgent [end of text],urgent,urgent,1,0,1339.14,10142.46,10142.46,10932.95,5.72,0,1,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_realtime_cpu_matrix_process_isolation_temp_07_20250924_120914.log,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_stress_cpu_matrix_process_isolation_run_006_1758708627.log,283.668
realtime_stress_cpu_matrix_process_isolation,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,7,30,192,2048,5000.0,10000.0,13652.064,1,1,urgent [end of text],urgent,urgent,1,0,1359.88,10185.84,10185.84,10447.75,5.69,0,1,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_realtime_cpu_matrix_process_isolation_temp_07_20250924_120914.log,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_stress_cpu_matrix_process_isolation_run_007_1758708641.log,116.567
realtime_stress_cpu_matrix_process_isolation,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,8,30,192,2048,5000.0,10000.0,13728.652,1,1,urgent [end of text],urgent,urgent,1,0,1353.66,10283.26,10283.26,10546.43,5.64,0,1,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_realtime_cpu_matrix_process_isolation_temp_07_20250924_120914.log,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_stress_cpu_matrix_process_isolation_run_008_1758708654.log,39.979
realtime_stress_cpu_matrix_process_isolation,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,9,30,192,2048,5000.0,10000.0,14048.2,1,1,Urgent [end of text],urgent,urgent,1,0,1267.83,10170.25,10170.25,10948.33,5.7,0,1,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_realtime_cpu_matrix_process_isolation_temp_07_20250924_120914.log,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_stress_cpu_matrix_process_isolation_run_009_1758708668.log,279.569
realtime_stress_cpu_matrix_process_isolation,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,10,30,192,2048,5000.0,10000.0,13609.96,1,1,urgent [end of text],urgent,urgent,1,0,1306.6,10219.67,10219.67,10482.36,5.68,0,1,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_realtime_cpu_matrix_process_isolation_temp_07_20250924_120914.log,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_stress_cpu_matrix_process_isolation_run_010_1758708682.log,158.671
realtime_stress_cpu_matrix_process_isolation,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,11,30,192,2048,5000.0,10000.0,14163.826,1,1,Urgent [end of text],urgent,urgent,1,0,1365.43,10156.97,10156.97,10932.39,5.71,0,1,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_realtime_cpu_matrix_process_isolation_temp_07_20250924_120914.log,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_stress_cpu_matrix_process_isolation_run_011_1758708696.log,395.195
realtime_stress_cpu_matrix_process_isolation,qwen05,llama.cpp/llama-completion,CPU,0.7,class_001,12,30,192,2048,5000.0,10000.0,13984.076,1,1,Urgent [end of text],urgent,urgent,1,0,1297.77,10146.14,10146.14,10917.37,5.72,0,1,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_realtime_cpu_matrix_process_isolation_temp_07_20250924_120914.log,/mnt/i1data/i1-edge-ai-slm/logs/realtime_realtime_stress_cpu_matrix_process_isolation_run_012_1758708710.log,215.445
