timestamp,scenario,model_label,model_path,runtime,execution,temperature,n_predict,ctx,prompt_id,task_type,repeat,prompt,expected,reference_for_bertscore,output,exact_match,accuracy,keyword_overlap_discursive,wall_time_seconds,load_time_ms,prompt_eval_time_ms,prompt_tokens,prompt_tokens_per_second,eval_time_ms,eval_runs,generation_tokens_per_second,total_inference_latency_ms,ttft_warm_estimate_ms,ttft_cold_estimate_ms,timeout,return_code,raw_log_file
2025-09-24T12:05:57.577008,baseline_cpu_final_temp_07,qwen25_3b_stress_cpu_matrix_process_isolation,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,1,What is 27 + 35? Answer only with the number.,62,62,,0,0,,180.8486,,,,,,,,,,,1,timeout,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_stress_cpu_matrix_process_isolation_baseline_cpu_final_temp_07_arith_001_run1_20250924_120256.txt
2025-09-24T12:08:42.560592,baseline_cpu_final_temp_07,qwen25_3b_stress_cpu_matrix_process_isolation,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,2,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,164.9169,76998.29,76144.67,37,0.49,8400.82,2,0.24,84725.76,80345.08,157343.37,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_stress_cpu_matrix_process_isolation_baseline_cpu_final_temp_07_arith_001_run2_20250924_120256.txt
2025-09-24T12:11:14.586782,baseline_cpu_final_temp_07,qwen25_3b_stress_cpu_matrix_process_isolation,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,3,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,151.9704,81014.98,55909.09,37,0.66,11640.59,2,0.17,67673.26,61729.385,142744.365,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_stress_cpu_matrix_process_isolation_baseline_cpu_final_temp_07_arith_001_run3_20250924_120256.txt
2025-09-24T12:13:11.688869,baseline_cpu_final_temp_07,qwen25_3b_stress_cpu_matrix_process_isolation,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,1,What is 14 * 6? Answer only with the number.,84,84,84,1,1,,117.0457,56979.22,53769.75,36,0.67,2781.23,2,0.72,56695.62,55160.365,112139.585,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_stress_cpu_matrix_process_isolation_baseline_cpu_final_temp_07_arith_002_run1_20250924_120256.txt
2025-09-24T12:15:13.077372,baseline_cpu_final_temp_07,qwen25_3b_stress_cpu_matrix_process_isolation,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,2,What is 14 * 6? Answer only with the number.,84,84,84,1,1,,121.3326,59425.2,55569.86,36,0.65,3023.24,2,0.66,58699.97,57081.48,116506.68,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_stress_cpu_matrix_process_isolation_baseline_cpu_final_temp_07_arith_002_run2_20250924_120256.txt
2025-09-24T12:17:25.300975,baseline_cpu_final_temp_07,qwen25_3b_stress_cpu_matrix_process_isolation,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,3,What is 14 * 6? Answer only with the number.,84,84,84,1,1,,132.1397,66966.9,57158.44,36,0.63,4709.32,2,0.42,61967.2,59513.1,126480.0,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_stress_cpu_matrix_process_isolation_baseline_cpu_final_temp_07_arith_002_run3_20250924_120256.txt
2025-09-24T12:19:27.680079,baseline_cpu_final_temp_07,qwen25_3b_stress_cpu_matrix_process_isolation,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,1,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,122.2956,60491.8,55564.98,38,0.68,2924.32,2,0.68,58591.33,57027.14,117518.94,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_stress_cpu_matrix_process_isolation_baseline_cpu_final_temp_07_arith_003_run1_20250924_120256.txt
2025-09-24T12:21:37.441403,baseline_cpu_final_temp_07,qwen25_3b_stress_cpu_matrix_process_isolation,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,2,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,129.6928,62585.85,60715.46,38,0.63,2910.33,2,0.69,63758.22,62170.625,124756.475,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_stress_cpu_matrix_process_isolation_baseline_cpu_final_temp_07_arith_003_run2_20250924_120256.txt
2025-09-24T12:23:37.886114,baseline_cpu_final_temp_07,qwen25_3b_stress_cpu_matrix_process_isolation,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,3,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,120.3643,48465.48,60320.5,38,0.63,8304.83,2,0.24,68746.93,64472.915,112938.395,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_stress_cpu_matrix_process_isolation_baseline_cpu_final_temp_07_arith_003_run3_20250924_120256.txt
2025-09-24T12:26:17.681456,baseline_cpu_final_temp_07,qwen25_3b_stress_cpu_matrix_process_isolation,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,mcq_001,closed,1,"Choose A, B, C or D. Which one is a mammal? A) Shark B) Dolphin C) Eagle D) Lizard. Answer only with the letter.",B,B,B,1,1,,159.7099,63053.31,84219.8,57,0.68,9088.61,1,0.11,93479.54,93308.41,156361.72,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_stress_cpu_matrix_process_isolation_baseline_cpu_final_temp_07_mcq_001_run1_20250924_120256.txt
