timestamp,scenario,model_label,model_path,runtime,execution,temperature,n_predict,ctx,prompt_id,task_type,repeat,prompt,expected,reference_for_bertscore,output,exact_match,accuracy,keyword_overlap_discursive,wall_time_seconds,load_time_ms,prompt_eval_time_ms,prompt_tokens,prompt_tokens_per_second,eval_time_ms,eval_runs,generation_tokens_per_second,total_inference_latency_ms,ttft_warm_estimate_ms,ttft_cold_estimate_ms,timeout,return_code,raw_log_file,bertscore_precision,bertscore_recall,bertscore_f1,model_label_clean,temperature_clean
2025-09-24T12:04:54.037972,baseline_cpu_final_temp_05,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,disc_001,discursive,1,What does CPU pinning mean? Answer in one short sentence.,cpu core,CPU pinning assigns a process or thread to a specific CPU core to reduce scheduling variability.,CPU pinning refers to assigning a process to a specific physical core within a multi-core processor.,,,1.0,18.2772,1561.99,8451.94,34.0,4.02,6504.55,19.0,2.92,14976.2,8794.2847,10356.2747,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_05_disc_001_run1_20250924_115343.txt,0.5876797,0.6114048,0.60016805,qwen25_1.5b,0.5
2025-09-24T12:05:13.223850,baseline_cpu_final_temp_05,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,disc_001,discursive,2,What does CPU pinning mean? Answer in one short sentence.,cpu core,CPU pinning assigns a process or thread to a specific CPU core to reduce scheduling variability.,CPU pinning refers to the process of assigning a process to a specific physical core on a multi-core processor.,,,1.0,19.1812,1508.78,8451.9,34.0,4.02,7463.81,22.0,2.95,15938.04,8791.1641,10299.9441,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_05_disc_001_run2_20250924_115343.txt,0.53004336,0.5840371,0.557629,qwen25_1.5b,0.5
2025-09-24T12:05:31.133471,baseline_cpu_final_temp_05,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,disc_001,discursive,3,What does CPU pinning mean? Answer in one short sentence.,cpu core,CPU pinning assigns a process or thread to a specific CPU core to reduce scheduling variability.,CPU pinning refers to the process of assigning a process exclusively to a specific CPU core.,,,1.0,17.905,1516.82,8446.72,34.0,4.03,6145.58,18.0,2.93,14611.38,8788.1411,10304.9611,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_05_disc_001_run3_20250924_115343.txt,0.6631114,0.63269794,0.64843506,qwen25_1.5b,0.5
2025-09-24T12:05:48.945020,baseline_cpu_final_temp_05,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,disc_002,discursive,1,What is latency in real-time systems? Answer in one short sentence.,response time,Latency is the time delay between an input event and the corresponding system response.,Latency is the delay or time taken for a signal to travel between two points.,,,0.5,17.8066,1570.18,8699.3,35.0,4.02,5769.97,17.0,2.95,14487.54,9038.71,10608.89,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_05_disc_002_run1_20250924_115343.txt,0.46202275,0.5165359,0.48997337,qwen25_1.5b,0.5
2025-09-24T12:06:06.083645,baseline_cpu_final_temp_05,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,disc_002,discursive,2,What is latency in real-time systems? Answer in one short sentence.,response time,Latency is the time delay between an input event and the corresponding system response.,Latency is the delay in time between input and output in a system.,,,0.5,17.1336,1529.31,8690.44,35.0,4.03,5166.31,15.0,2.9,13872.28,9034.8607,10564.1707,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_05_disc_002_run2_20250924_115343.txt,0.7492535,0.679993,0.71487325,qwen25_1.5b,0.5
2025-09-24T12:06:24.950311,baseline_cpu_final_temp_05,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,disc_002,discursive,3,What is latency in real-time systems? Answer in one short sentence.,response time,Latency is the time delay between an input event and the corresponding system response.,Latency is the time delay between the initiation of a task and its completion in real-time systems.,,,0.5,18.8618,1545.38,8693.23,35.0,4.03,6815.38,20.0,2.93,15529.22,9033.999,10579.379,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_05_disc_002_run3_20250924_115343.txt,0.57022893,0.6626432,0.6166769,qwen25_1.5b,0.5
2025-09-24T12:06:46.373573,baseline_cpu_final_temp_05,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,disc_003,discursive,1,Explain in two short sentences why CPU interference can increase inference latency on an embedded board.,cpu cache memory,"CPU interference can increase inference latency because the model shares cores, caches and memory bandwidth with other processes. This contention delays prompt processing and token generation.","CPU interference can increase inference latency on an embedded board by diverting processing resources from the inference task, leading to reduced throughput.",,,0.3333,21.4182,1480.72,9669.81,39.0,4.03,8569.1,25.0,2.92,18264.12,10012.574,11493.294,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_05_disc_003_run1_20250924_115343.txt,0.47706485,0.37528032,0.42662072,qwen25_1.5b,0.5
2025-09-24T12:07:12.251139,baseline_cpu_final_temp_05,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,disc_003,discursive,2,Explain in two short sentences why CPU interference can increase inference latency on an embedded board.,cpu cache memory,"CPU interference can increase inference latency because the model shares cores, caches and memory bandwidth with other processes. This contention delays prompt processing and token generation.","CPU interference can increase inference latency on an embedded board by diverting processing power away from the inference task, requiring additional time to complete the inference due to the need to manage the interference.",,,0.3333,25.8725,1593.25,9680.35,39.0,4.03,12701.49,37.0,2.91,22418.13,10023.6335,11616.8835,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_05_disc_003_run2_20250924_115343.txt,0.37456396,0.34430894,0.36043358,qwen25_1.5b,0.5
2025-09-24T12:07:35.209183,baseline_cpu_final_temp_05,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,disc_003,discursive,3,Explain in two short sentences why CPU interference can increase inference latency on an embedded board.,cpu cache memory,"CPU interference can increase inference latency because the model shares cores, caches and memory bandwidth with other processes. This contention delays prompt processing and token generation.","CPU interference can increase inference latency on an embedded board because the CPU must allocate significant time to handle interference, thereby reducing resources available for inference processing.",,,0.3333,22.9528,1585.8,9670.79,39.0,4.03,9826.04,29.0,2.95,19527.42,10009.619,11595.419,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_05_disc_003_run3_20250924_115343.txt,0.45557,0.3611013,0.40887785,qwen25_1.5b,0.5
2025-09-24T12:07:58.561704,baseline_cpu_final_temp_05,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,disc_004,discursive,1,Explain the difference between throughput and latency in AI inference using one short paragraph.,throughput latency,"Latency measures how long one inference takes from input to output, while throughput measures how many tokens or requests are processed per unit of time. A system can have high throughput but still be unsuitable for real-time use if individual responses arrive too late.","Throughput measures the amount of work a system can complete in a given time, while latency measures the time it takes for a system to respond to an input.",,,1.0,23.3471,1505.69,9176.59,37.0,4.03,10905.46,32.0,2.93,20114.32,9517.3856,11023.0756,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_05_disc_004_run1_20250924_115343.txt,0.4359426,0.2049854,0.31902957,qwen25_1.5b,0.5
