timestamp,scenario,model_label,model_path,runtime,execution,temperature,n_predict,ctx,prompt_id,task_type,repeat,prompt,expected,reference_for_bertscore,output,exact_match,accuracy,keyword_overlap_discursive,wall_time_seconds,load_time_ms,prompt_eval_time_ms,prompt_tokens,prompt_tokens_per_second,eval_time_ms,eval_runs,generation_tokens_per_second,total_inference_latency_ms,ttft_warm_estimate_ms,ttft_cold_estimate_ms,timeout,return_code,raw_log_file,stressor,stressor_workers,stressor_log,bertscore_precision,bertscore_recall,bertscore_f1
2025-09-24T12:32:12.393821,stress_cpu_matrix,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,1,What is 27 + 35? Answer only with the number.,62,62,62,1.0,1.0,,73.1407,62762.85,6570.68,37,5.63,573.08,2,3.49,7149.6,6857.22,69620.07,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_001_run1_20250924_123059.txt,stress-ng cpu matrixprod,2,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_temp_07_20250924_123053.log,,,
2025-09-24T12:32:24.364632,stress_cpu_matrix,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,2,What is 27 + 35? Answer only with the number.,62,62,62,1.0,1.0,,11.9593,1777.89,6646.8,37,5.57,886.98,2,2.25,7541.07,7090.29,8868.18,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_001_run2_20250924_123059.txt,stress-ng cpu matrixprod,2,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_temp_07_20250924_123053.log,,,
2025-09-24T12:32:36.319591,stress_cpu_matrix,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,3,What is 27 + 35? Answer only with the number.,62,62,62,1.0,1.0,,11.9527,1772.14,6586.04,37,5.62,911.3,2,2.19,7504.44,7041.69,8813.83,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_001_run3_20250924_123059.txt,stress-ng cpu matrixprod,2,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_temp_07_20250924_123053.log,,,
2025-09-24T12:32:47.728250,stress_cpu_matrix,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,1,What is 14 * 6? Answer only with the number.,84,84,84,1.0,1.0,,11.4064,1691.51,6378.78,36,5.64,574.42,2,3.48,6966.17,6665.99,8357.5,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_002_run1_20250924_123059.txt,stress-ng cpu matrixprod,2,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_temp_07_20250924_123053.log,,,
2025-09-24T12:32:59.582729,stress_cpu_matrix,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,2,What is 14 * 6? Answer only with the number.,84,84,90,0.0,0.0,,11.852,1861.92,6481.07,36,5.55,898.05,2,2.23,7387.02,6930.095,8792.015,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_002_run2_20250924_123059.txt,stress-ng cpu matrixprod,2,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_temp_07_20250924_123053.log,,,
2025-09-24T12:33:11.490256,stress_cpu_matrix,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,3,What is 14 * 6? Answer only with the number.,84,84,84,1.0,1.0,,11.9051,1875.04,6399.4,36,5.63,897.66,2,2.23,7304.68,6848.23,8723.27,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_002_run3_20250924_123059.txt,stress-ng cpu matrixprod,2,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_temp_07_20250924_123053.log,,,
2025-09-24T12:33:23.869761,stress_cpu_matrix,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,1,What is 125 - 58? Answer only with the number.,67,67,67,1.0,1.0,,12.3771,1995.63,6842.69,38,5.55,902.17,2,2.22,7753.28,7293.775,9289.405,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_003_run1_20250924_123059.txt,stress-ng cpu matrixprod,2,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_temp_07_20250924_123053.log,,,
2025-09-24T12:33:36.094618,stress_cpu_matrix,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,2,What is 125 - 58? Answer only with the number.,67,67,67,1.0,1.0,,12.2222,2008.63,6732.1,38,5.64,898.06,2,2.23,7637.19,7181.13,9189.76,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_003_run2_20250924_123059.txt,stress-ng cpu matrixprod,2,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_temp_07_20250924_123053.log,,,
2025-09-24T12:33:48.270004,stress_cpu_matrix,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,3,What is 125 - 58? Answer only with the number.,67,67,67,1.0,1.0,,12.1726,1798.48,6853.09,38,5.54,887.45,2,2.25,7748.17,7296.815,9095.295,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_003_run3_20250924_123059.txt,stress-ng cpu matrixprod,2,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_temp_07_20250924_123053.log,,,
2025-09-24T12:34:03.369918,stress_cpu_matrix,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,mcq_001,closed,1,"Choose A, B, C or D. Which one is a mammal? A) Shark B) Dolphin C) Eagle D) Lizard. Answer only with the letter.",B,B,A,0.0,0.0,,15.0972,1873.35,10031.36,57,5.68,457.36,1,2.19,10495.59,10488.72,12362.07,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_mcq_001_run1_20250924_123059.txt,stress-ng cpu matrixprod,2,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_temp_07_20250924_123053.log,,,
