timestamp,scenario,model_label,model_path,runtime,execution,temperature,n_predict,ctx,prompt_id,task_type,repeat,prompt,expected,reference_for_bertscore,output,exact_match,accuracy,keyword_overlap_discursive,wall_time_seconds,load_time_ms,prompt_eval_time_ms,prompt_tokens,prompt_tokens_per_second,eval_time_ms,eval_runs,generation_tokens_per_second,total_inference_latency_ms,ttft_warm_estimate_ms,ttft_cold_estimate_ms,timeout,return_code,raw_log_file
2025-09-24T13:29:42.002498,baseline_cpu_final_temp_07,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,1,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,96.1882,61159.0,28984.47,37,1.28,2975.46,2,0.67,32098.22,30472.2,91631.2,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_07_arith_001_run1_20250924_132805.txt
2025-09-24T13:31:33.255016,baseline_cpu_final_temp_07,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,2,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,111.1911,77941.94,28029.2,37,1.32,1838.07,2,1.09,30019.61,28948.235,106890.175,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_07_arith_001_run2_20250924_132805.txt
2025-09-24T13:33:25.199468,baseline_cpu_final_temp_07,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,3,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,111.8878,80092.29,27034.26,37,1.37,1404.84,2,1.42,28579.28,27736.68,107828.97,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_07_arith_001_run3_20250924_132805.txt
2025-09-24T13:34:48.205233,baseline_cpu_final_temp_07,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,1,What is 14 * 6? Answer only with the number.,84,84,84,1,1,,82.9359,49851.06,28124.4,36,1.28,1664.04,2,1.2,29966.05,28956.42,78807.48,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_07_arith_002_run1_20250924_132805.txt
2025-09-24T13:36:15.122493,baseline_cpu_final_temp_07,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,2,What is 14 * 6? Answer only with the number.,84,84,84,1,1,,86.8536,46258.84,33015.13,36,1.09,4378.27,2,0.46,37474.94,35204.265,81463.105,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_07_arith_002_run2_20250924_132805.txt
2025-09-24T13:38:03.923761,baseline_cpu_final_temp_07,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,3,What is 14 * 6? Answer only with the number.,84,84,84,1,1,,108.7473,52335.91,41847.55,36,0.86,11274.34,2,0.18,53232.41,47484.72,99820.63,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_07_arith_002_run3_20250924_132805.txt
2025-09-24T13:39:54.306071,baseline_cpu_final_temp_07,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,1,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,110.3127,58718.75,40037.77,38,0.95,8354.69,2,0.24,48510.89,44215.115,102933.865,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_07_arith_003_run1_20250924_132805.txt
2025-09-24T13:41:35.126103,baseline_cpu_final_temp_07,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,2,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,100.7479,57449.18,38743.22,38,0.98,1407.55,2,1.42,40259.42,39446.995,96896.175,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_07_arith_003_run2_20250924_132805.txt
2025-09-24T13:42:55.106132,baseline_cpu_final_temp_07,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,3,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,79.9215,49320.32,25895.65,38,1.47,1611.65,2,1.24,27590.68,26701.475,76021.795,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_07_arith_003_run3_20250924_132805.txt
2025-09-24T13:44:57.207594,baseline_cpu_final_temp_07,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,mcq_001,closed,1,"Choose A, B, C or D. Which one is a mammal? A) Shark B) Dolphin C) Eagle D) Lizard. Answer only with the letter.",B,B,B,1,1,,122.0424,58333.5,51954.31,57,1.1,8805.51,1,0.11,60900.91,60759.82,119093.32,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_07_mcq_001_run1_20250924_132805.txt
