timestamp,scenario,model_label,model_path,runtime,execution,temperature,n_predict,ctx,prompt_id,task_type,repeat,prompt,expected,reference_for_bertscore,output,exact_match,accuracy,keyword_overlap_discursive,wall_time_seconds,load_time_ms,prompt_eval_time_ms,prompt_tokens,prompt_tokens_per_second,eval_time_ms,eval_runs,generation_tokens_per_second,total_inference_latency_ms,ttft_warm_estimate_ms,ttft_cold_estimate_ms,timeout,return_code,raw_log_file,bertscore_precision,bertscore_recall,bertscore_f1
2025-09-24T11:45:15.818951,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,1,What is 27 + 35? Answer only with the number.,62,62,62,1.0,1.0,,64.5259,58771.88,3221.92,37,11.48,286.92,2,6.97,3513.16,3365.38,62137.26,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_001_run1_20250924_114411.txt,,,
2025-09-24T11:45:22.025108,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,2,What is 27 + 35? Answer only with the number.,62,62,62,1.0,1.0,,6.2041,1055.11,3216.41,37,11.5,262.69,2,7.61,3482.68,3347.755,4402.865,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_001_run2_20250924_114411.txt,,,
2025-09-24T11:45:28.287050,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,3,What is 27 + 35? Answer only with the number.,62,62,62,1.0,1.0,,6.26,1059.82,3216.15,37,11.5,263.17,2,7.6,3483.15,3347.735,4407.555,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_001_run3_20250924_114411.txt,,,
2025-09-24T11:45:34.546069,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,1,What is 14 * 6? Answer only with the number.,84,84,84,1.0,1.0,,6.2571,1116.55,3155.96,36,11.41,261.88,2,7.64,3426.18,3286.9,4403.45,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_002_run1_20250924_114411.txt,,,
2025-09-24T11:45:40.784629,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,2,What is 14 * 6? Answer only with the number.,84,84,94,0.0,0.0,,6.2365,1063.94,3148.13,36,11.44,262.94,2,7.61,3414.88,3279.6,4343.54,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_002_run2_20250924_114411.txt,,,
2025-09-24T11:45:47.058446,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,3,What is 14 * 6? Answer only with the number.,84,84,84,1.0,1.0,,6.2718,1071.1,3159.38,36,11.39,279.29,2,7.16,3442.34,3299.025,4370.125,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_002_run3_20250924_114411.txt,,,
2025-09-24T11:45:53.454548,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,1,What is 125 - 58? Answer only with the number.,67,67,67,1.0,1.0,,6.394,1073.32,3319.2,38,11.45,268.14,2,7.46,3591.11,3453.27,4526.59,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_003_run1_20250924_114411.txt,,,
2025-09-24T11:45:59.790191,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,2,What is 125 - 58? Answer only with the number.,67,67,67,1.0,1.0,,6.3335,1037.33,3316.27,38,11.46,280.79,2,7.12,3600.76,3456.665,4493.995,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_003_run2_20250924_114411.txt,,,
2025-09-24T11:46:06.212215,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,3,What is 125 - 58? Answer only with the number.,67,67,67,1.0,1.0,,6.4198,1061.77,3354.91,38,11.33,264.0,2,7.58,3622.74,3486.91,4548.68,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_003_run3_20250924_114411.txt,,,
2025-09-24T11:46:14.188915,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,mcq_001,closed,1,"Choose A, B, C or D. Which one is a mammal? A) Shark B) Dolphin C) Eagle D) Lizard. Answer only with the letter.",B,B,A,0.0,0.0,,7.9744,1111.6,4965.92,57,11.48,134.41,1,7.44,5103.23,5100.33,6211.93,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_mcq_001_run1_20250924_114411.txt,,,
2025-09-24T11:46:22.068168,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,mcq_001,closed,2,"Choose A, B, C or D. Which one is a mammal? A) Shark B) Dolphin C) Eagle D) Lizard. Answer only with the letter.",B,B,B,1.0,1.0,,7.877,1077.69,4970.3,57,11.47,134.23,1,7.45,5107.53,5104.53,6182.22,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_mcq_001_run2_20250924_114411.txt,,,
2025-09-24T11:46:30.099514,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,mcq_001,closed,3,"Choose A, B, C or D. Which one is a mammal? A) Shark B) Dolphin C) Eagle D) Lizard. Answer only with the letter.",B,B,C,0.0,0.0,,8.029,1128.2,4977.71,57,11.45,134.25,1,7.45,5115.04,5111.96,6240.16,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_mcq_001_run3_20250924_114411.txt,,,
2025-09-24T11:46:37.981687,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,mcq_002,closed,1,"Choose A, B, C or D. Which planet is closest to the Sun? A) Earth B) Mars C) Mercury D) Jupiter. Answer only with the letter.",C,C,C,1.0,1.0,,7.8797,1030.27,4952.48,57,11.51,133.93,1,7.47,5089.27,5086.41,6116.68,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_mcq_002_run1_20250924_114411.txt,,,
2025-09-24T11:46:45.940378,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,mcq_002,closed,2,"Choose A, B, C or D. Which planet is closest to the Sun? A) Earth B) Mars C) Mercury D) Jupiter. Answer only with the letter.",C,C,C,1.0,1.0,,7.9562,1110.7,4957.48,57,11.5,132.16,1,7.57,5092.59,5089.64,6200.34,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_mcq_002_run2_20250924_114411.txt,,,
2025-09-24T11:46:53.801071,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,mcq_002,closed,3,"Choose A, B, C or D. Which planet is closest to the Sun? A) Earth B) Mars C) Mercury D) Jupiter. Answer only with the letter.",C,C,C,1.0,1.0,,7.8582,1035.65,4988.15,57,11.43,132.46,1,7.55,5123.69,5120.61,6156.26,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_mcq_002_run3_20250924_114411.txt,,,
2025-09-24T11:47:02.656769,baseline_cpu_final_temp_07,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,json_001,structured,1,Extract name and age as JSON only: Marco is 21 years old.,Marco 21,"{""name"":""Marco"",""age"":21}","```json { ""name"": ""Marco"", ""age"": 21 } ```",0.0,1.0,,8.8531,1105.56,3240.43,37,11.42,2731.03,21,7.69,5993.09,3370.479,4476.039,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_json_001_run1_20250924_114411.txt,,,
